"university_name","university_slug","group","decile","cumulative_percentage"
"University of Bedfordshire","university-of-bedfordshire","Enrolment",0,0
"University of Bedfordshire","university-of-bedfordshire","Enrolment",1,13
"University of Bedfordshire","university-of-bedfordshire","Enrolment",2,25
"University of Bedfordshire","university-of-bedfordshire","Enrolment",3,37
"University of Bedfordshire","university-of-bedfordshire","Enrolment",4,54
"University of Bedfordshire","university-of-bedfordshire","Enrolment",5,65
"University of Bedfordshire","university-of-bedfordshire","Enrolment",6,73
"University of Bedfordshire","university-of-bedfordshire","Enrolment",7,82
"University of Bedfordshire","university-of-bedfordshire","Enrolment",8,88
"University of Bedfordshire","university-of-bedfordshire","Enrolment",9,94
"University of Bedfordshire","university-of-bedfordshire","Enrolment",10,100
"University of Bedfordshire","university-of-bedfordshire","Equal",0,0
"University of Bedfordshire","university-of-bedfordshire","Equal",1,10
"University of Bedfordshire","university-of-bedfordshire","Equal",2,20
"University of Bedfordshire","university-of-bedfordshire","Equal",3,30
"University of Bedfordshire","university-of-bedfordshire","Equal",4,40
"University of Bedfordshire","university-of-bedfordshire","Equal",5,50
"University of Bedfordshire","university-of-bedfordshire","Equal",6,60
"University of Bedfordshire","university-of-bedfordshire","Equal",7,70
"University of Bedfordshire","university-of-bedfordshire","Equal",8,80
"University of Bedfordshire","university-of-bedfordshire","Equal",9,90
"University of Bedfordshire","university-of-bedfordshire","Equal",10,100
"University of Bedfordshire","university-of-bedfordshire","Required",0,0
"University of Bedfordshire","university-of-bedfordshire","Required",1,5
"University of Bedfordshire","university-of-bedfordshire","Required",2,11
"University of Bedfordshire","university-of-bedfordshire","Required",3,19
"University of Bedfordshire","university-of-bedfordshire","Required",4,28
"University of Bedfordshire","university-of-bedfordshire","Required",5,38
"University of Bedfordshire","university-of-bedfordshire","Required",6,49
"University of Bedfordshire","university-of-bedfordshire","Required",7,60
"University of Bedfordshire","university-of-bedfordshire","Required",8,72
"University of Bedfordshire","university-of-bedfordshire","Required",9,85
"University of Bedfordshire","university-of-bedfordshire","Required",10,100
