"university_name","university_slug","group","decile","cumulative_percentage"
"Aston University","aston-university","Enrolment",0,0
"Aston University","aston-university","Enrolment",1,11
"Aston University","aston-university","Enrolment",2,23
"Aston University","aston-university","Enrolment",3,37
"Aston University","aston-university","Enrolment",4,58
"Aston University","aston-university","Enrolment",5,68
"Aston University","aston-university","Enrolment",6,75
"Aston University","aston-university","Enrolment",7,82
"Aston University","aston-university","Enrolment",8,87
"Aston University","aston-university","Enrolment",9,92
"Aston University","aston-university","Enrolment",10,100
"Aston University","aston-university","Equal",0,0
"Aston University","aston-university","Equal",1,10
"Aston University","aston-university","Equal",2,20
"Aston University","aston-university","Equal",3,30
"Aston University","aston-university","Equal",4,40
"Aston University","aston-university","Equal",5,50
"Aston University","aston-university","Equal",6,60
"Aston University","aston-university","Equal",7,70
"Aston University","aston-university","Equal",8,80
"Aston University","aston-university","Equal",9,90
"Aston University","aston-university","Equal",10,100
"Aston University","aston-university","Required",0,0
"Aston University","aston-university","Required",1,5
"Aston University","aston-university","Required",2,10
"Aston University","aston-university","Required",3,17
"Aston University","aston-university","Required",4,26
"Aston University","aston-university","Required",5,35
"Aston University","aston-university","Required",6,45
"Aston University","aston-university","Required",7,56
"Aston University","aston-university","Required",8,68
"Aston University","aston-university","Required",9,82
"Aston University","aston-university","Required",10,100
