"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Westminster","the-university-of-westminster","Enrolment",0,0
"The University of Westminster","the-university-of-westminster","Enrolment",1,17
"The University of Westminster","the-university-of-westminster","Enrolment",2,35
"The University of Westminster","the-university-of-westminster","Enrolment",3,51
"The University of Westminster","the-university-of-westminster","Enrolment",4,66
"The University of Westminster","the-university-of-westminster","Enrolment",5,76
"The University of Westminster","the-university-of-westminster","Enrolment",6,81
"The University of Westminster","the-university-of-westminster","Enrolment",7,85
"The University of Westminster","the-university-of-westminster","Enrolment",8,89
"The University of Westminster","the-university-of-westminster","Enrolment",9,92
"The University of Westminster","the-university-of-westminster","Enrolment",10,100
"The University of Westminster","the-university-of-westminster","Equal",0,0
"The University of Westminster","the-university-of-westminster","Equal",1,10
"The University of Westminster","the-university-of-westminster","Equal",2,20
"The University of Westminster","the-university-of-westminster","Equal",3,30
"The University of Westminster","the-university-of-westminster","Equal",4,40
"The University of Westminster","the-university-of-westminster","Equal",5,50
"The University of Westminster","the-university-of-westminster","Equal",6,60
"The University of Westminster","the-university-of-westminster","Equal",7,70
"The University of Westminster","the-university-of-westminster","Equal",8,80
"The University of Westminster","the-university-of-westminster","Equal",9,90
"The University of Westminster","the-university-of-westminster","Equal",10,100
"The University of Westminster","the-university-of-westminster","Required",0,0
"The University of Westminster","the-university-of-westminster","Required",1,5
"The University of Westminster","the-university-of-westminster","Required",2,11
"The University of Westminster","the-university-of-westminster","Required",3,19
"The University of Westminster","the-university-of-westminster","Required",4,28
"The University of Westminster","the-university-of-westminster","Required",5,38
"The University of Westminster","the-university-of-westminster","Required",6,49
"The University of Westminster","the-university-of-westminster","Required",7,60
"The University of Westminster","the-university-of-westminster","Required",8,72
"The University of Westminster","the-university-of-westminster","Required",9,85
"The University of Westminster","the-university-of-westminster","Required",10,100
