"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Salford","the-university-of-salford","Enrolment",0,0
"The University of Salford","the-university-of-salford","Enrolment",1,9
"The University of Salford","the-university-of-salford","Enrolment",2,19
"The University of Salford","the-university-of-salford","Enrolment",3,31
"The University of Salford","the-university-of-salford","Enrolment",4,44
"The University of Salford","the-university-of-salford","Enrolment",5,55
"The University of Salford","the-university-of-salford","Enrolment",6,64
"The University of Salford","the-university-of-salford","Enrolment",7,72
"The University of Salford","the-university-of-salford","Enrolment",8,83
"The University of Salford","the-university-of-salford","Enrolment",9,93
"The University of Salford","the-university-of-salford","Enrolment",10,100
"The University of Salford","the-university-of-salford","Equal",0,0
"The University of Salford","the-university-of-salford","Equal",1,10
"The University of Salford","the-university-of-salford","Equal",2,20
"The University of Salford","the-university-of-salford","Equal",3,30
"The University of Salford","the-university-of-salford","Equal",4,40
"The University of Salford","the-university-of-salford","Equal",5,50
"The University of Salford","the-university-of-salford","Equal",6,60
"The University of Salford","the-university-of-salford","Equal",7,70
"The University of Salford","the-university-of-salford","Equal",8,80
"The University of Salford","the-university-of-salford","Equal",9,90
"The University of Salford","the-university-of-salford","Equal",10,100
"The University of Salford","the-university-of-salford","Required",0,0
"The University of Salford","the-university-of-salford","Required",1,7
"The University of Salford","the-university-of-salford","Required",2,15
"The University of Salford","the-university-of-salford","Required",3,25
"The University of Salford","the-university-of-salford","Required",4,36
"The University of Salford","the-university-of-salford","Required",5,46
"The University of Salford","the-university-of-salford","Required",6,55
"The University of Salford","the-university-of-salford","Required",7,65
"The University of Salford","the-university-of-salford","Required",8,76
"The University of Salford","the-university-of-salford","Required",9,89
"The University of Salford","the-university-of-salford","Required",10,100
