"university_name","university_slug","group","decile","cumulative_percentage"
"Brunel University London","brunel-university-london","Enrolment",0,0
"Brunel University London","brunel-university-london","Enrolment",1,15
"Brunel University London","brunel-university-london","Enrolment",2,31
"Brunel University London","brunel-university-london","Enrolment",3,43
"Brunel University London","brunel-university-london","Enrolment",4,62
"Brunel University London","brunel-university-london","Enrolment",5,74
"Brunel University London","brunel-university-london","Enrolment",6,81
"Brunel University London","brunel-university-london","Enrolment",7,86
"Brunel University London","brunel-university-london","Enrolment",8,90
"Brunel University London","brunel-university-london","Enrolment",9,93
"Brunel University London","brunel-university-london","Enrolment",10,100
"Brunel University London","brunel-university-london","Equal",0,0
"Brunel University London","brunel-university-london","Equal",1,10
"Brunel University London","brunel-university-london","Equal",2,20
"Brunel University London","brunel-university-london","Equal",3,30
"Brunel University London","brunel-university-london","Equal",4,40
"Brunel University London","brunel-university-london","Equal",5,50
"Brunel University London","brunel-university-london","Equal",6,60
"Brunel University London","brunel-university-london","Equal",7,70
"Brunel University London","brunel-university-london","Equal",8,80
"Brunel University London","brunel-university-london","Equal",9,90
"Brunel University London","brunel-university-london","Equal",10,100
"Brunel University London","brunel-university-london","Required",0,0
"Brunel University London","brunel-university-london","Required",1,6
"Brunel University London","brunel-university-london","Required",2,13
"Brunel University London","brunel-university-london","Required",3,21
"Brunel University London","brunel-university-london","Required",4,33
"Brunel University London","brunel-university-london","Required",5,44
"Brunel University London","brunel-university-london","Required",6,54
"Brunel University London","brunel-university-london","Required",7,63
"Brunel University London","brunel-university-london","Required",8,72
"Brunel University London","brunel-university-london","Required",9,82
"Brunel University London","brunel-university-london","Required",10,100
