"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Kent","the-university-of-kent","Enrolment",0,0
"The University of Kent","the-university-of-kent","Enrolment",1,6
"The University of Kent","the-university-of-kent","Enrolment",2,14
"The University of Kent","the-university-of-kent","Enrolment",3,24
"The University of Kent","the-university-of-kent","Enrolment",4,37
"The University of Kent","the-university-of-kent","Enrolment",5,48
"The University of Kent","the-university-of-kent","Enrolment",6,60
"The University of Kent","the-university-of-kent","Enrolment",7,70
"The University of Kent","the-university-of-kent","Enrolment",8,80
"The University of Kent","the-university-of-kent","Enrolment",9,90
"The University of Kent","the-university-of-kent","Enrolment",10,100
"The University of Kent","the-university-of-kent","Equal",0,0
"The University of Kent","the-university-of-kent","Equal",1,10
"The University of Kent","the-university-of-kent","Equal",2,20
"The University of Kent","the-university-of-kent","Equal",3,30
"The University of Kent","the-university-of-kent","Equal",4,40
"The University of Kent","the-university-of-kent","Equal",5,50
"The University of Kent","the-university-of-kent","Equal",6,60
"The University of Kent","the-university-of-kent","Equal",7,70
"The University of Kent","the-university-of-kent","Equal",8,80
"The University of Kent","the-university-of-kent","Equal",9,90
"The University of Kent","the-university-of-kent","Equal",10,100
"The University of Kent","the-university-of-kent","Required",0,0
"The University of Kent","the-university-of-kent","Required",1,5
"The University of Kent","the-university-of-kent","Required",2,11
"The University of Kent","the-university-of-kent","Required",3,18
"The University of Kent","the-university-of-kent","Required",4,27
"The University of Kent","the-university-of-kent","Required",5,37
"The University of Kent","the-university-of-kent","Required",6,48
"The University of Kent","the-university-of-kent","Required",7,59
"The University of Kent","the-university-of-kent","Required",8,71
"The University of Kent","the-university-of-kent","Required",9,85
"The University of Kent","the-university-of-kent","Required",10,100
