Time_period,Value,Ind_name
2001,0.395394737,Vacancy rate
2002,0.397757256,Vacancy rate
2003,0.421413864,Vacancy rate
2004,0.465214336,Vacancy rate
2005,0.388640715,Vacancy rate
2006,0.364491476,Vacancy rate
2007,0.427238806,Vacancy rate
2008,0.263105342,Vacancy rate
2009,0.185079494,Vacancy rate
2010,0.192968438,Vacancy rate
2011,0.172926739,Vacancy rate
2012,0.197633136,Vacancy rate
2013,0.243105643,Vacancy rate
2014,0.378609626,Vacancy rate
2015,0.441943128,Vacancy rate
2016,0.477602524,Vacancy rate
2017,0.561859193,Vacancy rate
2018,0.629493764,Vacancy rate
2019,0.628682171,Vacancy rate
2020,0.33784546,Vacancy rate
2021,0.901675164,Vacancy rate
